treat,year,method,att,se,n_treat,n_control
all,1996,nn,-421.0609540636069,2098.803549871915,3396,17598
all,1996,kernel,-554.5441659637145,292.8470229590828,3396,17598
all,1997,nn,352.934334511192,2226.50004228947,3396,17598
all,1997,kernel,-648.9447630868381,388.7731354407002,3396,17598
all,1998,nn,-293.5868669022384,2423.261399440264,3396,17598
all,1998,kernel,-949.6541360335323,361.4595411064969,3396,17598
all,1999,nn,-1700.418433451116,2680.79949114896,3396,17598
all,1999,kernel,-1884.435271949376,172.7114829088898,3396,17598
all,2000,nn,-2440.289752650177,2713.741511213635,3396,17598
all,2000,kernel,-2596.171462176855,312.1488627241562,3396,17598
all,2001,nn,1088.113957597176,2714.936003988081,3396,17598
all,2001,kernel,-1046.376389866185,381.1600150675357,3396,17598
mass,1996,nn,-245.2093663911837,2221.211679083407,363,20631
mass,1996,kernel,-1632.945392724949,934.1239505226122,363,20631
mass,1997,nn,225.7465564738304,2348.710231360679,363,20631
mass,1997,kernel,-1983.368640659261,903.9948420234747,363,20631
mass,1998,nn,581.0606060606078,2619.48556996655,363,20631
mass,1998,kernel,-1925.027699296566,756.0622297686037,363,20631
mass,1999,nn,-2233.663911845731,2884.605153890981,363,20631
mass,1999,kernel,-3576.48115612971,728.9138921532933,363,20631
mass,2000,nn,-3403.796143250693,2935.016074606658,363,20631
mass,2000,kernel,-4219.873745938072,910.3325896263176,363,20631
mass,2001,nn,32.35537190082687,2899.494403418651,363,20631
mass,2001,kernel,-2941.924571062824,617.4939946137227,363,20631
sep,1996,nn,-245.367622815691,2168.892930164918,3033,17961
sep,1996,kernel,-574.4228338811299,268.0044724457498,3033,17961
sep,1997,nn,583.1895812726725,2301.610617692183,3033,17961
sep,1997,kernel,-648.9066459812166,385.2931068514727,3033,17961
sep,1998,nn,-225.6274315858827,2492.258805304611,3033,17961
sep,1998,kernel,-1006.445243600981,407.1396568207843,3033,17961
sep,1999,nn,-1519.853610286846,2732.660615886887,3033,17961
sep,1999,kernel,-1823.257673952125,229.3036170964295,3033,17961
sep,2000,nn,-2330.787668974612,2764.23415514495,3033,17961
sep,2000,kernel,-2533.078256249406,325.3626534890154,3033,17961
sep,2001,nn,1012.657105176389,2786.017109461216,3033,17961
sep,2001,kernel,-1014.827326823404,390.560421265958,3033,17961
